date,calories_burned,steps,distance,minutes_sedentary,minutes_lightly_active,minutes_fairly_active,minutes_very_active,activity calories,sleep_start_time,sleep_end_time,minutes_asleep,minutes_awake,number_of_awakenings,time_in_bed
2017-11-22,1880,7366,3.07,700,183,9,8,669,2017-11-22 10:12 PM,2017-11-23 6:36 AM,446,58,3,504
2017-11-23,2123,10509,5.02,734,174,8,48,958,2017-11-23 10:40 PM,2017-11-24 7:59 AM,529,30,1,559
2017-11-24,1716,4916,2.05,738,147,0,0,485,2017-11-24 10:44 PM,2017-11-25 9:17 AM,600,33,2,633
2017-11-25,1953,8239,3.44,609,224,5,10,805,2017-11-25 11:25 PM,2017-11-26 8:40 AM,525,30,1,555
2017-11-26,1609,2655,1.11,568,139,0,0,376,2017-11-26 9:53 PM,2017-11-27 7:44 AM,562,26,3,591
2017-11-27,1982,9825,4.1,642,144,36,37,817,2017-11-27 10:03 PM,2017-11-28 6:50 AM,501,25,0,527
2017-11-28,1863,7656,3.19,706,143,11,24,653,2017-11-28 9:34 PM,2017-11-29 5:58 AM,478,26,1,504
2017-11-29,2418,16788,7.54,624,212,15,62,1315,2017-11-29 9:10 PM,2017-11-30 5:58 AM,513,12,1,527
2017-11-30,2286,14306,6,607,233,24,56,1201,2017-11-30 9:17 PM,2017-12-01 7:24 AM,575,31,2,606
2017-12-01,2031,10417,4.34,781,166,10,39,846,2017-11-30 9:17 PM,2017-12-01 7:24 AM,575,31,2,606
2017-12-02,1538,2018,0.84,724,75,0,0,232,2017-12-02 12:09 AM,2017-12-02 10:11 AM,588,14,1,602
2017-12-03,2087,11491,4.79,629,150,16,59,920,2017-12-02 11:21 PM,2017-12-03 8:24 AM,522,21,1,543
2017-12-04,1991,9810,4.09,698,169,15,30,809,2017-12-03 10:38 PM,2017-12-04 7:04 AM,478,28,1,506
2017-12-05,1938,8490,3.54,630,188,7,12,751,2017-12-04 10:15 PM,2017-12-05 7:43 AM,536,32,1,568
2017-12-06,2472,18161,8.1,632,139,29,107,1351,2017-12-05 9:40 PM,2017-12-06 6:10 AM,457,48,3,510
2017-12-07,1948,8957,3.73,630,163,14,14,735,2017-12-06 9:17 PM,2017-12-07 7:57 AM,593,23,4,640
2017-12-08,1989,9815,4.09,812,130,22,34,768,2017-12-07 9:37 PM,2017-12-08 7:22 AM,547,37,2,584
2017-12-09,1726,5131,2.14,1195,126,4,12,487,2017-12-09 10:17 PM,2017-12-10 8:08 AM,567,24,2,591
2017-12-10,2189,13154,5.48,629,181,10,60,1045,2017-12-10 10:47 PM,2017-12-11 6:46 AM,457,21,1,478
2017-12-11,2080,11056,4.61,678,170,28,44,925,2017-12-11 10:06 PM,2017-12-12 7:36 AM,541,29,1,570
2017-12-12,1957,9071,3.78,748,185,3,7,749,2017-12-12 11:18 PM,2017-12-13 5:52 AM,372,21,2,393
2017-12-13,2695,21738,10,634,149,33,114,1591,2017-12-13 9:21 PM,2017-12-14 8:02 AM,588,52,3,641
2017-12-14,1895,7884,3.29,699,140,13,32,682,2017-12-14 10:46 PM,2017-12-15 7:57 AM,527,24,2,551
2017-12-15,1842,7402,3.09,715,119,15,25,609,2017-12-15 10:30 PM,2017-12-16 7:07 AM,489,24,1,517
2017-12-16,2643,18835,9.17,695,219,10,89,1556,2017-12-17 12:57 AM,2017-12-17 8:46 AM,443,26,1,469
2017-12-17,2029,10458,4.36,606,147,9,49,841,2017-12-17 9:19 PM,2017-12-18 7:45 AM,571,55,4,626
2017-12-18,2374,10977,4.58,593,189,12,68,1245,2017-12-18 10:06 PM,2017-12-19 7:28 AM,524,37,4,562
2017-12-19,2342,12291,5.12,582,157,24,80,1210,2017-12-19 9:31 PM,2017-12-20 5:57 AM,478,26,1,506
2017-12-20,2391,16567,7.64,740,140,26,76,1234,2017-12-20 10:19 PM,2017-12-21 7:14 AM,495,29,4,535
2017-12-21,2316,15056,6.28,575,212,33,60,1217,2017-12-21 9:53 PM,2017-12-22 6:48 AM,494,41,4,535
2017-12-22,3080,27702,13.14,533,178,43,156,2058,2017-12-22 9:58 PM,2017-12-23 7:36 AM,527,49,4,578
2017-12-23,2315,12921,5.39,550,357,22,27,1314,2017-12-23 11:32 PM,2017-12-24 8:14 AM,440,82,6,522
